"","subject","activity","variable","average"
"218","6","WALKING","tGravityAcc-mean()-Z",0.0584702778558474
"219","6","WALKING_UPSTAIRS","tGravityAcc-mean()-Z",0.0184833048368539
"220","7","WALKING_UPSTAIRS","tGravityAcc-mean()-Z",0.0342160711928604
"221","8","WALKING_UPSTAIRS","tGravityAcc-mean()-Z",0.0836542406807935
"222","11","WALKING_UPSTAIRS","tGravityAcc-mean()-Z",0.140209861246835
"223","14","WALKING_UPSTAIRS","tGravityAcc-mean()-Z",0.130135867455696
"224","14","WALKING_DOWNSTAIRS","tGravityAcc-mean()-Z",-0.255499121995902
"225","15","WALKING_DOWNSTAIRS","tGravityAcc-mean()-Z",0.0372897701757012
"226","16","WALKING_DOWNSTAIRS","tGravityAcc-mean()-Z",0.0402075536234973
"227","17","WALKING_DOWNSTAIRS","tGravityAcc-mean()-Z",-0.284880580416667
"228","17","SITTING","tGravityAcc-mean()-Z",0.0223722077328126
"229","19","SITTING","tGravityAcc-mean()-Z",0.233011401195083
"230","21","SITTING","tGravityAcc-mean()-Z",0.0321851774362745
"231","22","SITTING","tGravityAcc-mean()-Z",0.236637160405404
"232","22","STANDING","tGravityAcc-mean()-Z",0.234681679495935
"233","23","STANDING","tGravityAcc-mean()-Z",0.0518662466372043
"234","25","STANDING","tGravityAcc-mean()-Z",0.239226040930391
"235","26","STANDING","tGravityAcc-mean()-Z",0.234107010472449
"236","27","STANDING","tGravityAcc-mean()-Z",0.219701605211973
"237","27","LAYING","tGravityAcc-mean()-Z",0.120613102375168
"238","28","LAYING","tGravityAcc-mean()-Z",-0.0469931021049738
"239","29","LAYING","tGravityAcc-mean()-Z",0.208215370043721
"240","30","LAYING","tGravityAcc-mean()-Z",0.184343178348036
"241","2","WALKING","tBodyAccJerk-mean()-X",0.0785353156747351
"242","4","WALKING","tBodyAccJerk-mean()-X",0.0780162237953608
"243","4","WALKING_UPSTAIRS","tBodyAccJerk-mean()-X",0.0802005876016261
"244","9","WALKING_UPSTAIRS","tBodyAccJerk-mean()-X",0.0840171430291667
"245","10","WALKING_UPSTAIRS","tBodyAccJerk-mean()-X",0.0775130550833333
"246","10","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-X",0.0804000423888889
"247","12","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-X",0.0799354253827957
"248","12","SITTING","tBodyAccJerk-mean()-X",0.0572366455208955
"249","13","SITTING","tBodyAccJerk-mean()-X",0.0794393034550306
"250","18","SITTING","tBodyAccJerk-mean()-X",0.0756560724
"251","18","STANDING","tBodyAccJerk-mean()-X",0.0776448301356288
"252","20","STANDING","tBodyAccJerk-mean()-X",0.0835868911373737
"253","20","LAYING","tBodyAccJerk-mean()-X",0.0750346921474359
"254","24","LAYING","tBodyAccJerk-mean()-X",0.0784735003467192
"255","1","WALKING","tBodyAccJerk-mean()-X",0.0770930495126802
"256","3","WALKING","tBodyAccJerk-mean()-X",0.0701731261988857
"257","5","WALKING","tBodyAccJerk-mean()-X",0.0841019899622517
"258","6","WALKING","tBodyAccJerk-mean()-X",0.0866435091149576
"259","6","WALKING_UPSTAIRS","tBodyAccJerk-mean()-X",0.0674351008988764
"260","7","WALKING_UPSTAIRS","tBodyAccJerk-mean()-X",0.0831829573168831
"261","8","WALKING_UPSTAIRS","tBodyAccJerk-mean()-X",0.084215745375516
"262","11","WALKING_UPSTAIRS","tBodyAccJerk-mean()-X",0.0830134540658228
"263","14","WALKING_UPSTAIRS","tBodyAccJerk-mean()-X",0.0773017082381013
"264","14","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-X",0.0731636526834836
"265","15","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-X",0.0776897411304878
"266","16","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-X",0.0775488885374317
"267","17","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-X",0.0740394237708333
"268","17","SITTING","tBodyAccJerk-mean()-X",0.0825110514162501
"269","19","SITTING","tBodyAccJerk-mean()-X",0.0774171147766388
"270","21","SITTING","tBodyAccJerk-mean()-X",0.0822207874776961
"271","22","SITTING","tBodyAccJerk-mean()-X",0.0847162929146465
"272","22","STANDING","tBodyAccJerk-mean()-X",0.0700672625147155
"273","23","STANDING","tBodyAccJerk-mean()-X",0.0778588215843817
"274","25","STANDING","tBodyAccJerk-mean()-X",0.0817657442063815
"275","26","STANDING","tBodyAccJerk-mean()-X",0.0808743261341836
"276","27","STANDING","tBodyAccJerk-mean()-X",0.0767283254358974
"277","27","LAYING","tBodyAccJerk-mean()-X",0.076859186338255
"278","28","LAYING","tBodyAccJerk-mean()-X",0.0807263062382199
"279","29","LAYING","tBodyAccJerk-mean()-X",0.0788382324713372
"280","30","LAYING","tBodyAccJerk-mean()-X",0.0734799270148825
"281","2","WALKING","tBodyAccJerk-mean()-Y",0.00708771249764901
"282","4","WALKING","tBodyAccJerk-mean()-Y",-0.0010311298138299
"283","4","WALKING_UPSTAIRS","tBodyAccJerk-mean()-Y",0.0106812194621382
"284","9","WALKING_UPSTAIRS","tBodyAccJerk-mean()-Y",0.00678485848399306
"285","10","WALKING_UPSTAIRS","tBodyAccJerk-mean()-Y",0.00330831786383333
"286","10","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-Y",0.0153774046898718
"287","12","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-Y",0.00147809411698925
"288","12","SITTING","tBodyAccJerk-mean()-Y",0.010632586489403
"289","13","SITTING","tBodyAccJerk-mean()-Y",0.00387961953328135
"290","18","SITTING","tBodyAccJerk-mean()-Y",0.01212352927
"291","18","STANDING","tBodyAccJerk-mean()-Y",0.0129534445262126
"292","20","STANDING","tBodyAccJerk-mean()-Y",0.00611187765247475
"293","20","LAYING","tBodyAccJerk-mean()-Y",-0.00274400097455128
"294","24","LAYING","tBodyAccJerk-mean()-Y",0.00396900308574016
"295","1","WALKING","tBodyAccJerk-mean()-Y",0.0165908438802305
"296","3","WALKING","tBodyAccJerk-mean()-Y",0.0144664329060411
"297","5","WALKING","tBodyAccJerk-mean()-Y",0.00176568303841059
"298","6","WALKING","tBodyAccJerk-mean()-Y",0.00183060788194915
"299","6","WALKING_UPSTAIRS","tBodyAccJerk-mean()-Y",-0.00310401228089888
"300","7","WALKING_UPSTAIRS","tBodyAccJerk-mean()-Y",0.00760909767418831
"301","8","WALKING_UPSTAIRS","tBodyAccJerk-mean()-Y",0.000860301581786478
"302","11","WALKING_UPSTAIRS","tBodyAccJerk-mean()-Y",0.0078044254343038
"303","14","WALKING_UPSTAIRS","tBodyAccJerk-mean()-Y",0.0036647518358481
"304","14","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-Y",0.00468680247090164
"305","15","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-Y",0.00489392052706402
"306","16","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-Y",0.00884018328270218
"307","17","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-Y",0.00607092773104167
"308","17","SITTING","tBodyAccJerk-mean()-Y",0.00885228208375
"309","19","SITTING","tBodyAccJerk-mean()-Y",0.0115812421960876
"310","21","SITTING","tBodyAccJerk-mean()-Y",0.00350107553584853
"311","22","SITTING","tBodyAccJerk-mean()-Y",0.0189573433473737
"312","22","STANDING","tBodyAccJerk-mean()-Y",0.00930099346105691
"313","23","STANDING","tBodyAccJerk-mean()-Y",0.0200470964972984
"314","25","STANDING","tBodyAccJerk-mean()-Y",0.00638633884442543
"315","26","STANDING","tBodyAccJerk-mean()-Y",0.00767709978181122
"316","27","STANDING","tBodyAccJerk-mean()-Y",0.00997154866282051
"317","27","LAYING","tBodyAccJerk-mean()-Y",0.00518398515885571
"318","28","LAYING","tBodyAccJerk-mean()-Y",0.0138224436546073
"319","29","LAYING","tBodyAccJerk-mean()-Y",0.00900161248883721
"320","30","LAYING","tBodyAccJerk-mean()-Y",0.00730438257971279
"321","2","WALKING","tBodyAccJerk-mean()-Z",0.000755760748377482
"322","4","WALKING","tBodyAccJerk-mean()-Z",-0.00737070069603093
"323","4","WALKING_UPSTAIRS","tBodyAccJerk-mean()-Z",-0.00737856315243902
"324","9","WALKING_UPSTAIRS","tBodyAccJerk-mean()-Z",-0.00102998088194445
"325","10","WALKING_UPSTAIRS","tBodyAccJerk-mean()-Z",0.000510105274833334
"326","10","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-Z",-0.0143982101450427
"327","12","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-Z",-0.0106609660939785
"328","12","SITTING","tBodyAccJerk-mean()-Z",0.0155338481445373
"329","13","SITTING","tBodyAccJerk-mean()-Z",-0.0123485923641621
"330","18","SITTING","tBodyAccJerk-mean()-Z",0.000426343527333334
"331","18","STANDING","tBodyAccJerk-mean()-Z",0.000886467423302993
"332","20","STANDING","tBodyAccJerk-mean()-Z",-0.00607491491689899
"333","20","LAYING","tBodyAccJerk-mean()-Z",-0.00251495485183974
"334","24","LAYING","tBodyAccJerk-mean()-Z",-0.00700960558805774
"335","1","WALKING","tBodyAccJerk-mean()-Z",-0.00910758730117003
"336","3","WALKING","tBodyAccJerk-mean()-Z",-0.000526818872875367
"337","5","WALKING","tBodyAccJerk-mean()-Z",-0.0029537113427351
"338","6","WALKING","tBodyAccJerk-mean()-Z",-0.000810930989618643
"339","6","WALKING_UPSTAIRS","tBodyAccJerk-mean()-Z",-0.00609868840674157
"340","7","WALKING_UPSTAIRS","tBodyAccJerk-mean()-Z",-0.00791725696048702
"341","8","WALKING_UPSTAIRS","tBodyAccJerk-mean()-Z",-0.0196719912994306
"342","11","WALKING_UPSTAIRS","tBodyAccJerk-mean()-Z",-0.00657424975259494
"343","14","WALKING_UPSTAIRS","tBodyAccJerk-mean()-Z",-0.0069576409346962
"344","14","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-Z",-0.00109705214282786
"345","15","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-Z",-0.00440993190077744
"346","16","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-Z",-0.00143730005564208
"347","17","WALKING_DOWNSTAIRS","tBodyAccJerk-mean()-Z",-0.00478813832875
"348","17","SITTING","tBodyAccJerk-mean()-Z",0.003826532875875
"349","19","SITTING","tBodyAccJerk-mean()-Z",-0.00186198850195833
"350","21","SITTING","tBodyAccJerk-mean()-Z",-0.010659072671299
"351","22","SITTING","tBodyAccJerk-mean()-Z",-0.00354166441267677
"352","22","STANDING","tBodyAccJerk-mean()-Z",-0.0131640140761789
"353","23","STANDING","tBodyAccJerk-mean()-Z",-0.000717680881887094
"354","25","STANDING","tBodyAccJerk-mean()-Z",-0.010346171499489
"355","26","STANDING","tBodyAccJerk-mean()-Z",-0.00724891943768878
"356","27","STANDING","tBodyAccJerk-mean()-Z",-0.00266551938307692
"357","27","LAYING","tBodyAccJerk-mean()-Z",-0.00554795896677852
"358","28","LAYING","tBodyAccJerk-mean()-Z",0.000824208324801045
"359","29","LAYING","tBodyAccJerk-mean()-Z",-0.00355290542467733
"360","30","LAYING","tBodyAccJerk-mean()-Z",-0.000653871890373366
"361","2","WALKING","tBodyGyro-mean()-X",-0.0517030657821192
"362","4","WALKING","tBodyGyro-mean()-X",-0.0298726752979382
"363","4","WALKING_UPSTAIRS","tBodyGyro-mean()-X",-0.027473566188374
"364","9","WALKING_UPSTAIRS","tBodyGyro-mean()-X",-0.0701318154561459
"365","10","WALKING_UPSTAIRS","tBodyGyro-mean()-X",-0.0342448434966667
"366","10","WALKING_DOWNSTAIRS","tBodyGyro-mean()-X",-0.0144658378235897
"367","12","WALKING_DOWNSTAIRS","tBodyGyro-mean()-X",-0.0575264551461828
"368","12","SITTING","tBodyGyro-mean()-X",-0.0702784362985075
"369","13","SITTING","tBodyGyro-mean()-X",-0.0562470618980061
"370","18","SITTING","tBodyGyro-mean()-X",-0.0259236282933333
"371","18","STANDING","tBodyGyro-mean()-X",-0.038430136020509
